Date	Price	Open	High	Low	Change %
Jul 04, 2014	13.596	13.613	13.613	13.586	-0.11%
Jul 07, 2014	13.605	13.596	13.611	13.575	0.07%
Jul 08, 2014	13.613	13.605	13.619	13.588	0.06%
Jul 09, 2014	13.645	13.613	13.648	13.601	0.24%
Jul 10, 2014	13.610	13.644	13.651	13.589	-0.26%
Jul 11, 2014	13.609	13.609	13.625	13.591	-0.01%
Jul 14, 2014	13.620	13.602	13.640	13.597	0.08%
Jul 15, 2014	13.572	13.620	13.628	13.561	-0.35%
Jul 16, 2014	13.525	13.567	13.575	13.519	-0.35%
Jul 17, 2014	13.527	13.525	13.541	13.516	0.01%
Jul 18, 2014	13.525	13.525	13.535	13.491	-0.01%
Jul 21, 2014	13.523	13.527	13.550	13.512	-0.01%
Jul 22, 2014	13.466	13.525	13.531	13.460	-0.42%
Jul 23, 2014	13.465	13.465	13.475	13.454	-0.01%
Jul 24, 2014	13.464	13.463	13.485	13.437	-0.01%
Jul 25, 2014	13.432	13.466	13.478	13.422	-0.24%
Jul 28, 2014	13.441	13.432	13.445	13.426	0.07%
Jul 29, 2014	13.410	13.440	13.445	13.403	-0.23%
Jul 30, 2014	13.397	13.409	13.416	13.366	-0.10%
Jul 31, 2014	13.389	13.396	13.401	13.371	-0.06%
Aug 01, 2014	13.430	13.392	13.445	13.378	0.31%
Aug 04, 2014	13.422	13.427	13.434	13.408	-0.06%
Aug 05, 2014	13.376	13.422	13.425	13.358	-0.34%
Aug 06, 2014	13.382	13.377	13.388	13.333	0.04%
Aug 07, 2014	13.363	13.384	13.394	13.337	-0.14%
Aug 08, 2014	13.411	13.363	13.433	13.343	0.36%
Aug 11, 2014	13.386	13.401	13.415	13.378	-0.19%
Aug 12, 2014	13.369	13.386	13.386	13.335	-0.13%
Aug 13, 2014	13.365	13.369	13.415	13.342	-0.03%
Aug 14, 2014	13.365	13.365	13.409	13.348	0.00%
Aug 15, 2014	13.399	13.366	13.412	13.358	0.25%
Aug 18, 2014	13.363	13.393	13.400	13.352	-0.27%
Aug 19, 2014	13.320	13.363	13.366	13.312	-0.32%
Aug 20, 2014	13.260	13.321	13.327	13.255	-0.45%
Aug 21, 2014	13.282	13.260	13.289	13.242	0.17%
Aug 22, 2014	13.243	13.283	13.298	13.220	-0.29%
Aug 25, 2014	13.192	13.220	13.220	13.184	-0.39%
Aug 26, 2014	13.169	13.193	13.216	13.165	-0.17%
Aug 27, 2014	13.193	13.168	13.211	13.152	0.18%
Aug 28, 2014	13.183	13.193	13.221	13.159	-0.08%
Aug 29, 2014	13.133	13.178	13.197	13.131	-0.38%
Sep 01, 2014	13.128	13.138	13.146	13.118	-0.04%
Sep 02, 2014	13.133	13.130	13.139	13.110	0.04%
Sep 03, 2014	13.151	13.131	13.161	13.122	0.14%
Sep 04, 2014	12.945	13.147	13.155	12.919	-1.57%
Sep 05, 2014	12.950	12.944	12.986	12.921	0.04%
Sep 08, 2014	12.897	12.943	12.963	12.882	-0.41%
Sep 09, 2014	12.938	12.898	12.959	12.860	0.32%
Sep 10, 2014	12.917	12.936	12.963	12.883	-0.16%
Sep 11, 2014	12.926	12.917	12.952	12.896	0.07%
Sep 12, 2014	12.965	12.925	12.980	12.909	0.30%
Sep 15, 2014	12.942	12.976	12.982	12.908	-0.18%
Sep 16, 2014	12.960	12.938	12.995	12.922	0.14%
Sep 17, 2014	12.866	12.959	12.982	12.851	-0.73%
Sep 18, 2014	12.923	12.865	12.931	12.834	0.44%
Sep 19, 2014	12.829	12.923	12.930	12.827	-0.73%
Sep 22, 2014	12.850	12.827	12.868	12.815	0.16%
Sep 23, 2014	12.847	12.851	12.903	12.842	-0.02%
Sep 24, 2014	12.780	12.846	12.864	12.774	-0.52%
Sep 25, 2014	12.750	12.780	12.784	12.698	-0.23%
Sep 26, 2014	12.685	12.752	12.761	12.677	-0.51%
Sep 29, 2014	12.685	12.685	12.716	12.664	0.00%
Sep 30, 2014	12.632	12.684	12.703	12.571	-0.42%
Oct 01, 2014	12.624	12.631	12.640	12.584	-0.06%
Oct 02, 2014	12.668	12.622	12.698	12.612	0.35%
Oct 03, 2014	12.517	12.668	12.676	12.500	-1.19%
Oct 06, 2014	12.654	12.510	12.677	12.504	1.09%
Oct 07, 2014	12.670	12.656	12.683	12.584	0.13%
Oct 08, 2014	12.734	12.669	12.749	12.622	0.51%
Oct 09, 2014	12.691	12.732	12.792	12.664	-0.34%
Oct 10, 2014	12.628	12.691	12.716	12.605	-0.50%
Oct 13, 2014	12.753	12.637	12.762	12.619	0.99%
Oct 14, 2014	12.659	12.752	12.769	12.640	-0.74%
Oct 15, 2014	12.837	12.659	12.886	12.624	1.41%
Oct 16, 2014	12.809	12.837	12.847	12.706	-0.22%
Oct 17, 2014	12.763	12.811	12.837	12.744	-0.36%
Oct 20, 2014	12.799	12.758	12.817	12.731	0.28%
Oct 21, 2014	12.715	12.801	12.841	12.713	-0.66%
Oct 22, 2014	12.649	12.716	12.740	12.636	-0.52%
Oct 23, 2014	12.647	12.651	12.679	12.614	-0.02%
Oct 24, 2014	12.670	12.645	12.696	12.633	0.18%
Oct 27, 2014	12.698	12.683	12.725	12.666	0.22%
Oct 28, 2014	12.734	12.698	12.765	12.683	0.28%
Oct 29, 2014	12.632	12.735	12.772	12.631	-0.80%
Oct 30, 2014	12.613	12.631	12.640	12.547	-0.15%
Oct 31, 2014	12.525	12.612	12.618	12.485	-0.70%
Nov 03, 2014	12.483	12.515	12.517	12.441	-0.34%
Nov 04, 2014	12.546	12.483	12.578	12.481	0.50%
Nov 05, 2014	12.486	12.546	12.568	12.457	-0.48%
Nov 06, 2014	12.375	12.487	12.535	12.365	-0.89%
Nov 07, 2014	12.454	12.376	12.471	12.359	0.64%
Nov 10, 2014	12.421	12.452	12.510	12.417	-0.26%
Nov 11, 2014	12.475	12.421	12.500	12.394	0.43%
Nov 12, 2014	12.439	12.476	12.499	12.418	-0.29%
Nov 13, 2014	12.477	12.439	12.492	12.426	0.31%
Nov 14, 2014	12.523	12.477	12.548	12.399	0.37%
Nov 17, 2014	12.450	12.526	12.578	12.444	-0.58%
Nov 18, 2014	12.537	12.450	12.546	12.442	0.70%
Nov 19, 2014	12.554	12.537	12.600	12.512	0.14%
Nov 20, 2014	12.540	12.555	12.576	12.504	-0.11%
Nov 21, 2014	12.390	12.541	12.571	12.376	-1.20%
Nov 24, 2014	12.443	12.376	12.445	12.357	0.43%
Nov 25, 2014	12.475	12.443	12.487	12.401	0.26%
Nov 26, 2014	12.506	12.475	12.532	12.443	0.25%
Nov 27, 2014	12.467	12.506	12.524	12.464	-0.31%
Nov 28, 2014	12.452	12.468	12.492	12.427	-0.12%
Dec 01, 2014	12.470	12.456	12.507	12.419	0.14%
Dec 02, 2014	12.383	12.471	12.478	12.377	-0.70%
Dec 03, 2014	12.311	12.382	12.391	12.300	-0.58%
Dec 04, 2014	12.379	12.313	12.458	12.282	0.55%
Dec 05, 2014	12.285	12.380	12.393	12.271	-0.76%
Dec 08, 2014	12.317	12.278	12.344	12.246	0.26%
Dec 09, 2014	12.375	12.317	12.448	12.292	0.47%
Dec 10, 2014	12.448	12.374	12.449	12.361	0.59%
Dec 11, 2014	12.411	12.448	12.496	12.370	-0.30%
Dec 12, 2014	12.462	12.413	12.487	12.384	0.41%
Dec 15, 2014	12.437	12.462	12.485	12.414	-0.20%
Dec 16, 2014	12.511	12.437	12.571	12.433	0.59%
Dec 17, 2014	12.343	12.512	12.517	12.322	-1.34%
Dec 18, 2014	12.286	12.342	12.353	12.265	-0.46%
Dec 19, 2014	12.228	12.288	12.305	12.222	-0.47%
Dec 22, 2014	12.231	12.226	12.273	12.216	0.02%
Dec 23, 2014	12.172	12.231	12.247	12.165	-0.48%
Dec 24, 2014	12.195	12.172	12.222	12.170	0.19%
Dec 25, 2014	12.222	12.195	12.256	12.186	0.22%
Dec 26, 2014	12.176	12.224	12.228	12.168	-0.38%
Dec 29, 2014	12.152	12.182	12.221	12.142	-0.20%
Dec 30, 2014	12.157	12.151	12.188	12.123	0.04%
Dec 31, 2014	12.098	12.155	12.172	12.096	-0.49%
Jan 01, 2015	12.104	12.100	12.107	12.094	0.05%
Jan 02, 2015	12.003	12.106	12.111	12.001	-0.83%
Jan 05, 2015	11.934	12.003	12.008	11.883	-0.57%
Jan 06, 2015	11.889	11.933	11.969	11.884	-0.38%
Jan 07, 2015	11.839	11.892	11.898	11.803	-0.42%
