"","FTSE China A50 (FTXIN9)_history.csv Date","FTSE China A50 (FTXIN9)_history.csv Price","FTSE China A50 (FTXIN9)_history.csv Open","FTSE China A50 (FTXIN9)_history.csv High","FTSE China A50 (FTXIN9)_history.csv Low","FTSE China A50 (FTXIN9)_history.csv Volume"
"1547",2016-09-02,9804.58,9767.63,9813.22,9756.17,
"1548",2016-09-05,9820.9,9804.58,9866.94,9799.38,
"1549",2016-09-06,9835.3,9820.9,9879.73,9778.13,
"1550",2016-09-07,9846.1,9835.3,9885.6,9822.65,
"1551",2016-09-08,9844.64,9846.1,9858.31,9822.43,
"1552",2016-09-09,9811.74,9844.64,9866.01,9808.84,
"1553",2016-09-12,9669.61,9811.74,9811.74,9585.63,
"1554",2016-09-13,9644.09,9669.61,9673.05,9616.56,
"1555",2016-09-14,9557.45,9644.09,9644.09,9542.39,
"1556",2016-09-15,9557.45,9557.45,9557.45,9557.45,
"1557",2016-09-19,9621.73,9557.45,9630.82,9556.4,
"1558",2016-09-20,9595.83,9621.73,9626.25,9582.19,
"1559",2016-09-21,9610.3,9595.83,9630.69,9579.26,
"1560",2016-09-22,9678.62,9610.3,9724.45,9610.3,
"1561",2016-09-23,9659.31,9678.62,9690.87,9654.14,
"1562",2016-09-26,9535.41,9659.31,9659.31,9533.74,
"1563",2016-09-27,9581.14,9535.41,9581.65,9514.99,
"1564",2016-09-28,9534.09,9581.14,9584.41,9527.3,
"1565",2016-09-29,9579.52,9534.09,9611.03,9534.09,
"1566",2016-09-30,9598.73,9579.52,9621.57,9564.49,
"1567",2016-10-03,9598.73,9598.73,9598.73,9598.73,
"1568",2016-10-07,9598.73,9598.73,9598.73,9598.73,
"1569",2016-10-10,9692.13,9598.73,9704.3,9598.73,
"1570",2016-10-11,9708.03,9692.13,9723.91,9676.07,
"1571",2016-10-12,9680.4,9708.03,9708.53,9659.43,
"1572",2016-10-13,9677,9680.4,9699.64,9649.52,
"1573",2016-10-14,9703.09,9677,9709.84,9653.9,
"1574",2016-10-17,9631.91,9703.09,9704.76,9615.51,
"1575",2016-10-18,9758.4,9631.91,9763.9,9620.62,
"1576",2016-10-19,9748.03,9758.4,9785.99,9731.38,
"1577",2016-10-20,9759.95,9748.03,9777.66,9739.4,
"1578",2016-10-21,9830.77,9759.95,9849.16,9750.08,
"1579",2016-10-24,9940.57,9830.77,10000.62,9826.01,
"1580",2016-10-25,9921.01,9940.57,9954.11,9893.55,
"1581",2016-10-26,9865.21,9921.01,9924.1,9857.69,
"1582",2016-10-27,9839.56,9865.21,9867.77,9810.15,
"1583",2016-10-28,9870.69,9839.56,9932.91,9839.56,
"1584",2016-10-31,9851.94,9870.69,9871.58,9793.89,
"1585",2016-11-01,9911.61,9851.94,9911.62,9835.16,
"1586",2016-11-02,9827.79,9911.61,9911.61,9819.75,
"1587",2016-11-03,9938.38,9827.79,9976.51,9806.04,
"1588",2016-11-04,9920.65,9938.38,9982,9902.59,
"1589",2016-11-07,9935.17,9920.65,9951.89,9897.47,
"1590",2016-11-08,9972.73,9935.17,10019.3,9935.17,
"1591",2016-11-09,9891.89,9972.73,9973.4,9809.52,
"1592",2016-11-10,9997.66,9891.89,10038.78,9891.89,
"1593",2016-11-11,10058.52,9997.66,10087.65,9974.43,
"1594",2016-11-14,10092.05,10058.52,10176.12,10033.16,
"1595",2016-11-15,10074.05,10092.05,10097.83,10050.83,
"1596",2016-11-16,10060.78,10074.05,10090.45,10037.95,
"1597",2016-11-17,10077.34,10060.78,10080.63,10006.28,
"1598",2016-11-18,10046.6,10077.34,10110.05,10035.51,
