"","US SmallCap 2000 (US2000)_history.csv Date","US SmallCap 2000 (US2000)_history.csv Price","US SmallCap 2000 (US2000)_history.csv Open","US SmallCap 2000 (US2000)_history.csv High","US SmallCap 2000 (US2000)_history.csv Low","US SmallCap 2000 (US2000)_history.csv Volume"
"331",2010-04-27,721.27,736.13,741.72,720.46,"-"
"332",2010-04-28,722.39,723.97,726.69,719.77,"-"
"333",2010-04-29,737.74,725.86,737.74,724.26,"-"
"334",2010-04-30,716.6,738.27,738.63,716.48,"-"
"335",2010-05-03,732.82,719.3,732.87,719.3,"-"
"336",2010-05-04,709.7,726.36,726.36,705.84,"-"
"337",2010-05-05,698.58,703.29,708.64,693.89,"-"
"338",2010-05-06,672.23,695.7,700.89,637.69,"-"
"339",2010-05-07,653,671.08,675.51,647.64,"-"
"340",2010-05-10,689.61,668.25,689.89,668.25,"-"
"341",2010-05-11,695.48,683.97,704.03,680.58,"-"
"342",2010-05-12,716.11,695.72,716.22,695.72,"-"
"343",2010-05-13,709.85,713.65,719.7,705.96,"-"
"344",2010-05-14,693.98,709.32,709.32,686.5,"-"
"345",2010-05-17,695.71,696.59,703.62,677.94,"-"
"346",2010-05-18,682.75,700.97,705.34,681.54,"-"
"347",2010-05-19,674.4,680.22,686.15,665.83,"-"
"348",2010-05-20,640.04,665.91,665.91,640.04,"-"
"349",2010-05-21,649.29,634.98,654.5,629.56,"-"
"350",2010-05-24,641.21,648.11,652.8,641.15,"-"
"351",2010-05-25,640.02,632.67,640.88,617.61,"-"
"352",2010-05-26,642.62,642.9,657.95,640.35,"-"
"353",2010-05-27,670.51,650.75,670.59,650.74,"-"
"354",2010-05-28,661.61,668.83,670.08,657.36,"-"
"355",2010-06-01,640.96,657.54,662.72,640.96,"-"
"356",2010-06-02,660.52,644.08,660.52,640.36,"-"
"357",2010-06-03,667.37,661.15,669.35,658.86,"-"
"358",2010-06-04,633.97,658.6,658.6,633.13,"-"
"359",2010-06-07,618.49,636.01,639.22,617.99,"-"
"360",2010-06-08,617.69,620.33,623.83,607.29,"-"
"361",2010-06-09,618.29,619.98,632.24,615.56,"-"
"362",2010-06-10,639.79,624.19,639.79,624.19,"-"
"363",2010-06-11,649,634.18,649,632.82,"-"
"364",2010-06-14,652.27,653.85,662.95,651.01,"-"
"365",2010-06-15,668.77,655.61,669.95,654.47,"-"
"366",2010-06-16,666.13,663.85,671.74,662.29,"-"
"367",2010-06-17,665.85,668.91,669.34,659.36,"-"
"368",2010-06-18,666.92,667.35,671.55,663.91,"-"
"369",2010-06-21,660.03,673.12,677.15,656.67,"-"
"370",2010-06-22,645.91,661.8,668.21,645.63,"-"
"371",2010-06-23,644.25,645.29,650.04,637.74,"-"
"372",2010-06-24,633.17,641.61,643.37,632.87,"-"
"373",2010-06-25,645.11,635.2,646.67,631.22,"-"
"374",2010-06-28,641.54,644.16,649.72,638.53,"-"
"375",2010-06-29,615.96,635.96,635.96,612.09,"-"
"376",2010-06-30,609.49,616.34,623.71,608.34,"-"
"377",2010-07-01,604.76,609.77,611.11,590.57,"-"
"378",2010-07-02,598.97,604.93,608.69,595.39,"-"
"379",2010-07-06,590.03,605.06,613.31,587.67,"-"
"380",2010-07-07,611.66,592.11,611.68,592.09,"-"
"381",2010-07-08,620.27,615.63,620.4,611.54,"-"
"382",2010-07-09,629.43,619.35,629.55,618.39,"-"
"383",2010-07-12,621.61,627.64,631.35,617.58,"-"
"384",2010-07-13,642.82,626.72,644.33,626.72,"-"
"385",2010-07-14,640.16,640.32,643.47,635.63,"-"
"386",2010-07-15,634.62,640.3,640.3,627.33,"-"
"387",2010-07-16,610.39,631.36,631.36,609.57,"-"
"388",2010-07-19,613.08,613.2,615.1,602,"-"
"389",2010-07-20,624.24,604.8,625.1,602.7,"-"
"390",2010-07-21,612.64,629.1,630,611,"-"
"391",2010-07-22,635.48,621.9,636.8,621.8,"-"
"392",2010-07-23,650.65,631.1,651.2,629.8,"-"
"393",2010-07-26,665.22,652.9,665.3,649.3,"-"
"394",2010-07-27,662.17,670.9,672.9,660.2,"-"
"395",2010-07-28,664.2,661.5,664.3,661.2,"-"
"396",2010-07-29,650.43,657.3,660.1,639.8,"-"
"397",2010-07-30,650.89,641.3,655.8,638.5,"-"
"398",2010-08-02,661.86,662.5,665,652.8,"-"
"399",2010-08-03,655.66,659.1,665,650.8,"-"
"400",2010-08-04,662.96,659.4,664.5,656.9,"-"
"401",2010-08-05,655.07,656.5,662,654.6,"-"
"402",2010-08-06,650.68,643.8,653.7,638.2,"-"
"403",2010-08-09,659.52,655.8,660.8,651.2,"-"
"404",2010-08-10,646.36,651.8,653.7,641,"-"
"405",2010-08-11,620.39,633,633,618.8,"-"
"406",2010-08-12,616.98,608.1,621.3,607.5,"-"
"407",2010-08-13,609.49,614.6,616.2,608.9,"-"
"408",2010-08-16,615.1,605.7,618.6,603.1,"-"
"409",2010-08-17,626.3,621.6,630.8,617.9,"-"
"410",2010-08-18,628.04,624.3,632.8,618.7,"-"
"411",2010-08-19,610.96,625.1,626.9,608.7,"-"
"412",2010-08-20,610.78,607.7,611.5,601,"-"
"413",2010-08-23,602.67,615.7,618.7,602,"-"
"414",2010-08-24,595.59,593.5,602.8,587.7,"-"
"415",2010-08-25,604.86,590.8,606.3,588.8,"-"
"416",2010-08-26,599.76,607.1,612.3,598.2,"-"
"417",2010-08-27,616.76,607.1,617.7,595.2,"-"
"418",2010-08-30,601.72,613.2,616.3,601.72,"-"
"419",2010-08-31,602.06,601.3,608.5,596.6,"-"
"420",2010-09-01,624.98,611.6,624.98,609.6,"-"
"421",2010-09-02,632.26,624.1,633.2,622.1,"-"
"422",2010-09-03,643.36,641,644.5,635.3,"-"
"423",2010-09-07,629.29,641,641,628.3,"-"
"424",2010-09-08,634.25,631.7,639,631.4,"-"
"425",2010-09-09,634.62,643.9,644,629.5,"-"
"426",2010-09-10,636.46,637.1,640.3,632.8,"-"
"427",2010-09-13,652.28,643.9,653.8,642.3,"-"
"428",2010-09-14,649.23,650.1,655.2,646.8,"-"
"429",2010-09-15,652.51,647,654.7,642.3,"-"
"430",2010-09-16,647.81,651.4,653.1,642.9,"-"
"431",2010-09-17,651.44,652.9,654.4,641.9,"-"
"432",2010-09-20,669.98,653.1,670.3,648.9,"-"
"433",2010-09-21,664.68,668.7,673.2,664.2,"-"
"434",2010-09-22,656.71,663.5,668,652.3,"-"
"435",2010-09-23,648.84,651.5,662.2,647.2,"-"
"436",2010-09-24,671.01,658.7,671.5,657.7,"-"
"437",2010-09-27,668.29,670.2,671.9,665.3,"-"
"438",2010-09-28,675.43,670,676.6,657.8,"-"
"439",2010-09-29,677.64,674.1,679.8,671.6,"-"
"440",2010-09-30,676.14,682.1,685.8,669.8,"-"
"441",2010-10-01,679.29,681.7,682.8,672.8,"-"
"442",2010-10-04,670.2,677.7,681.3,665.2,"-"
"443",2010-10-05,689.1,677.3,690.5,673,"-"
"444",2010-10-06,685,688,690.7,681,"-"
"445",2010-10-07,683.3,689.2,689.6,678,"-"
"446",2010-10-08,692.5,683.9,695.5,680.3,"-"
"447",2010-10-11,692.1,692.2,697.3,690.3,"-"
"448",2010-10-12,694.6,690.3,697,683,"-"
"449",2010-10-13,705.37,698.8,710.3,696.6,"-"
"450",2010-10-14,704.69,705,708.3,697.8,"-"
"451",2010-10-15,703.16,710.4,711.3,697.8,"-"
"452",2010-10-18,710.13,704.8,710.2,701.8,"-"
"453",2010-10-19,694.15,700.2,707.6,689.5,"-"
"454",2010-10-20,702.11,698.5,706.3,695.8,"-"
"455",2010-10-21,698.12,705.6,710.8,689.7,"-"
"456",2010-10-22,703.43,700.8,703.8,697.7,"-"
"457",2010-10-25,707.89,708.5,715.6,705.8,"-"
"458",2010-10-26,706.93,703.2,711.2,699.5,"-"
"459",2010-10-27,704.23,701.5,705.7,695.3,"-"
"460",2010-10-28,701.03,710.5,711.1,697,"-"
"461",2010-10-29,703.35,698.1,706.1,697.8,"-"
"462",2010-11-01,698.56,706.3,711,693,"-"
"463",2010-11-02,712.89,706.6,713.3,702.8,"-"
"464",2010-11-03,715.14,713.6,716.1,705,"-"
"465",2010-11-04,733.46,728.5,734.1,726.3,"-"
"466",2010-11-05,736.59,734.6,739.8,733.1,"-"
"467",2010-11-08,736.77,734.8,738.6,730.8,"-"
"468",2010-11-09,726.03,738.7,739.7,722.8,"-"
"469",2010-11-10,734.85,727.3,735,720.7,"-"
"470",2010-11-11,731.58,727,734.8,724.2,"-"
"471",2010-11-12,719.27,724.7,730.3,718.5,"-"
"472",2010-11-15,719.94,723.8,728.1,719.3,"-"
"473",2010-11-16,705.33,714.5,716.3,701,"-"
"474",2010-11-17,707.77,707.3,709.7,703.7,"-"
"475",2010-11-18,720.84,716.8,724.8,716.6,"-"
"476",2010-11-19,724.36,718.8,725.1,714.3,"-"
"477",2010-11-22,727.33,721.1,728.8,716.5,"-"
"478",2010-11-23,719.93,718.2,721.3,714.5,"-"
"479",2010-11-24,736.53,727,737.1,727,"-"
"480",2010-11-26,732.73,732,736.3,730.3,"-"
"481",2010-11-29,731.95,728.8,734.2,719.3,"-"
"482",2010-11-30,727.01,724.3,731.5,721,"-"
"483",2010-12-01,743.14,740.5,745,740.1,"-"
"484",2010-12-02,751.2,743.8,751.8,742.8,"-"
"485",2010-12-03,756.42,747.3,757.5,746.8,"-"
"486",2010-12-06,760.86,755.1,762,753.6,"-"
"487",2010-12-07,765.3,769,771,762.6,"-"
"488",2010-12-08,764.04,766.3,767.8,762.3,"-"
"489",2010-12-09,767.63,769,769.3,763.5,"-"
"490",2010-12-10,776.83,768.5,778,766.4,"-"
"491",2010-12-13,772.1,779.2,780.3,772,"-"
"492",2010-12-14,771.66,775.3,775.9,770.7,"-"
"493",2010-12-15,768.36,771.3,779.3,767.9,"-"
"494",2010-12-16,776.55,770.7,778.3,767.9,"-"
"495",2010-12-17,779.51,777,780.2,771.6,"-"
"496",2010-12-20,782.3,781.5,785.8,777.3,"-"
"497",2010-12-21,790.52,784.3,790.7,783.8,"-"
"498",2010-12-22,790.59,791.7,793.1,788.6,"-"
"499",2010-12-23,788.96,791.1,792.5,787.6,"-"
"500",2010-12-27,792.35,786.6,792.8,784.9,"-"
"501",2010-12-28,789.46,793.1,793.1,787.1,"-"
"502",2010-12-29,790.26,790.1,792,789.4,"-"
"503",2010-12-30,789.74,790.1,794,788.8,"-"
"504",2010-12-31,783.65,788.5,790.3,782.8,"-"
"505",2011-01-03,798.56,791.3,801.7,788.8,"-"
"506",2011-01-04,785.83,799.6,800.5,777.1,"-"
"507",2011-01-05,795.09,784.3,795.09,782.3,"-"
"508",2011-01-06,791.42,795.6,796.6,787.8,"-"
"509",2011-01-07,787.83,793.3,795.7,775.6,"-"
"510",2011-01-10,791.58,784,794.8,777.5,"-"
