"","Bovespa (BVSP)_history.csv Date","Bovespa (BVSP)_history.csv Price","Bovespa (BVSP)_history.csv Open","Bovespa (BVSP)_history.csv High","Bovespa (BVSP)_history.csv Low","Bovespa (BVSP)_history.csv Volume"
"597",2011-06-02,64218.08,63410.91,64218.08,63277.37,"2140000"
"598",2011-06-03,64340.5,64216.34,64978.78,63628.2,"2160000"
"599",2011-06-06,63067.73,64340.5,64512.02,62959.77,"1820000"
"600",2011-06-07,63217.85,63071.86,63784.38,63071.86,"2090000"
"601",2011-06-08,63032.97,63204.22,63353.54,62709.41,"1810000"
"602",2011-06-09,63468.82,63036.69,63772.64,62872.35,"1950000"
"603",2011-06-10,62697.16,63470.09,63478.36,62495.24,"1690000"
"604",2011-06-13,62022.92,62701.28,62967.84,62021.6,"1400000"
"605",2011-06-14,62204.83,62023.41,62697.43,62023.41,"1760000"
"606",2011-06-15,61603.74,62198.11,62198.11,61448.14,"2670000"
"607",2011-06-16,60880.62,61602.06,62040.31,60489.27,"1990000"
"608",2011-06-17,61059.98,60882.59,61268.47,60565.54,"1970000"
"609",2011-06-20,61168.24,61059.23,61571.37,60783.78,"2020000"
"610",2011-06-21,61423.61,61187.62,61542.51,61178.94,"1700000"
"611",2011-06-22,61194.09,61420.04,61858.97,61194.09,"1860000"
"612",2011-06-24,61016.72,61191.88,61458.8,60920.8,"1450000"
"613",2011-06-27,61216.98,61017.23,61456.22,60771.93,"1630000"
"614",2011-06-28,62303.37,61216.26,62308.77,61216.26,"1800000"
"615",2011-06-29,62333.97,62303.24,62624.62,62032.74,"1870000"
"616",2011-06-30,62403.64,62337.41,62574.33,61959.4,"1810000"
"617",2011-07-01,63394.34,62403.64,63454.86,62148.39,"2380000"
"618",2011-07-04,63891.31,63396.72,63891.31,63314.23,"1e+06"
"619",2011-07-05,63038.81,63886.43,63886.43,63030.22,"1940000"
"620",2011-07-06,62565.46,63038.81,63038.81,62390.69,"1610000"
