"","Dow Jones Industrial Average (DJI)_history.csv Date","Dow Jones Industrial Average (DJI)_history.csv Price","Dow Jones Industrial Average (DJI)_history.csv Open","Dow Jones Industrial Average (DJI)_history.csv High","Dow Jones Industrial Average (DJI)_history.csv Low","Dow Jones Industrial Average (DJI)_history.csv Volume"
"1904",2016-07-27,18472.17,18473.27,18542.39,18430.94,"111370000"
"1905",2016-07-28,18456.35,18461.01,18483.26,18368.82,"85750000"
"1906",2016-07-29,18432.24,18442.52,18466.55,18371.12,"111550000"
"1907",2016-08-01,18404.51,18434.5,18467.03,18355.75,"83470000"
"1908",2016-08-02,18313.77,18401.15,18403.65,18247.79,"89680000"
"1909",2016-08-03,18355,18313.08,18355,18283.23,"78550000"
"1910",2016-08-04,18352.05,18351.43,18397.87,18325.17,"64500000"
"1911",2016-08-05,18543.53,18402.8,18543.53,18402.8,"92420000"
"1912",2016-08-08,18529.29,18540.65,18569.31,18502.03,"71810000"
"1913",2016-08-09,18533.05,18538.05,18585.32,18507.75,"60090000"
"1914",2016-08-10,18495.66,18541.48,18561.75,18468.78,"62780000"
"1915",2016-08-11,18613.52,18519.08,18638.34,18519.08,"71470000"
"1916",2016-08-12,18576.47,18595.65,18606.06,18535.86,"61580000"
"1917",2016-08-15,18636.05,18588.59,18668.44,18588.59,"62350000"
"1918",2016-08-16,18552.02,18614.48,18614.86,18550.65,"67570000"
"1919",2016-08-17,18573.94,18537.09,18582.35,18468.68,"7.1e+07"
"1920",2016-08-18,18597.7,18566.54,18600.82,18533.29,"70740000"
"1921",2016-08-19,18552.57,18585.17,18585.17,18491.24,"93170000"
"1922",2016-08-22,18529.42,18535.86,18570.92,18466.86,"73450000"
"1923",2016-08-23,18547.3,18568.94,18631.6,18545.52,"73990000"
"1924",2016-08-24,18481.48,18537.5,18539.15,18448.27,"72270000"
"1925",2016-08-25,18448.41,18471.21,18497.68,18431.46,"64480000"
"1926",2016-08-26,18395.4,18467.92,18572.09,18335.34,"78730000"
"1927",2016-08-29,18502.99,18421.29,18523.09,18419.92,"64480000"
"1928",2016-08-30,18454.3,18491.28,18514.29,18408.52,"68920000"
"1929",2016-08-31,18400.88,18436.7,18439.68,18333.56,"98250000"
"1930",2016-09-01,18419.3,18396.57,18430.05,18295.48,"74780000"
"1931",2016-09-02,18491.96,18466.01,18544.76,18439.1,"74350000"
"1932",2016-09-06,18538.12,18493.4,18551.54,18450.32,"83710000"
"1933",2016-09-07,18526.14,18527.71,18536.89,18474.77,"67570000"
"1934",2016-09-08,18479.91,18486.69,18506.24,18446.69,"79060000"
"1935",2016-09-09,18085.45,18404.17,18404.17,18085.45,"120670000"
"1936",2016-09-12,18325.07,18028.95,18358.69,17994.84,"103260000"
"1937",2016-09-13,18066.75,18262.99,18262.99,18028.06,"102830000"
"1938",2016-09-14,18034.77,18073.39,18163.48,17992.21,"103360000"
"1939",2016-09-15,18212.48,18024.91,18250.11,18015.49,"99560000"
"1940",2016-09-16,18123.8,18217.21,18217.21,18070.21,"278540000"
"1941",2016-09-19,18120.17,18154.82,18254.88,18093.05,"78090000"
"1942",2016-09-20,18129.96,18175.36,18227.21,18128.8,"72460000"
"1943",2016-09-21,18293.7,18164.96,18307.43,18121.57,"94100000"
"1944",2016-09-22,18392.46,18343.76,18449.88,18343.76,"73030000"
"1945",2016-09-23,18261.45,18377.36,18383.76,18254.84,"87180000"
"1946",2016-09-26,18094.83,18217.76,18217.76,18083.32,"95510000"
"1947",2016-09-27,18228.3,18099.21,18238.1,18052.16,"84130000"
"1948",2016-09-28,18339.24,18240.22,18349.86,18179.34,"97650000"
"1949",2016-09-29,18143.45,18322.88,18366.23,18091.64,"95880000"
"1950",2016-09-30,18308.15,18181.8,18369.62,18181.8,"135470000"
"1951",2016-10-03,18253.85,18279.6,18279.8,18203.75,"68520000"
"1952",2016-10-04,18168.45,18267.68,18313.77,18116.26,"79710000"
"1953",2016-10-05,18281.03,18205.5,18315.82,18205.5,"76190000"
"1954",2016-10-06,18268.5,18280.42,18288.12,18162.97,"78660000"
"1955",2016-10-07,18240.49,18295.35,18319.73,18149.35,"82680000"
"1956",2016-10-10,18329.04,18282.95,18399.96,18282.95,"72110000"
"1957",2016-10-11,18128.66,18308.43,18312.33,18061.96,"88610000"
"1958",2016-10-12,18144.2,18132.63,18193.96,18082.09,"72230000"
"1959",2016-10-13,18098.94,18088.32,18137.7,17959.95,"83160000"
"1960",2016-10-14,18138.38,18177.35,18261.11,18138.38,"87050000"
"1961",2016-10-17,18086.4,18135.85,18162.28,18063.02,"75960000"
"1962",2016-10-18,18161.94,18145.06,18225.8,18129.45,"74800000"
"1963",2016-10-19,18202.62,18178.21,18252.2,18169.25,"88040000"
"1964",2016-10-20,18162.35,18161.87,18249.05,18129.07,"88830000"
"1965",2016-10-21,18145.71,18152.63,18168.76,18049.77,"117820000"
"1966",2016-10-24,18223.03,18197.14,18275.04,18191.18,"88550000"
"1967",2016-10-25,18169.27,18206.52,18241.69,18151.7,"83190000"
"1968",2016-10-26,18199.33,18103.8,18236.04,18062.3,"86340000"
"1969",2016-10-27,18169.68,18234.81,18253.2,18149.2,"83530000"
"1970",2016-10-28,18161.19,18193.79,18257.06,18094.97,"107850000"
"1971",2016-10-31,18142.42,18176.6,18193.68,18130.58,"110080000"
"1972",2016-11-01,18037.1,18158.24,18177.01,17940.84,"101280000"
"1973",2016-11-02,17959.64,18017.72,18044.15,17931.89,"88610000"
"1974",2016-11-03,17930.67,17978.75,18006.96,17904.07,"77860000"
"1975",2016-11-04,17888.28,17928.35,17986.76,17883.56,"97760000"
"1976",2016-11-07,18259.6,17994.64,18263.3,17994.64,"93450000"
"1977",2016-11-08,18332.74,18251.38,18400.5,18200.75,"79820000"
"1978",2016-11-09,18589.69,18317.26,18650.06,18252.55,"173110000"
"1979",2016-11-10,18807.88,18603.14,18873.66,18603.14,"164390000"
"1980",2016-11-11,18847.66,18781.65,18855.78,18736.96,"107300000"
"1981",2016-11-14,18868.69,18876.77,18934.05,18815.75,"112250000"
"1982",2016-11-15,18923.06,18858.21,18925.26,18806.06,"100660000"
"1983",2016-11-16,18868.14,18909.85,18909.85,18825.89,"87320000"
