"","Nikkei 225 (N225)_history.csv Date","Nikkei 225 (N225)_history.csv Price","Nikkei 225 (N225)_history.csv Open","Nikkei 225 (N225)_history.csv High","Nikkei 225 (N225)_history.csv Low","Nikkei 225 (N225)_history.csv Volume"
"1051",2013-04-18,13220.07,13272.22,13377.74,13200.85,"304970"
"1052",2013-04-19,13316.48,13268.43,13338.75,13186.89,"236010"
"1053",2013-04-22,13568.37,13537.17,13611.58,13529.44,"246230"
"1054",2013-04-23,13529.65,13545.6,13585.35,13505.53,"240210"
"1055",2013-04-24,13843.46,13687.28,13843.46,13686.78,"307450"
"1056",2013-04-25,13926.08,13887.53,13974.26,13827.96,"294480"
"1057",2013-04-26,13884.13,13978.98,13983.87,13852.2,"248300"
"1058",2013-04-30,13860.86,13854.82,13897.06,13778.75,"237550"
"1059",2013-05-01,13799.35,13837.72,13844.82,13782,"185420"
"1060",2013-05-02,13694.04,13727.25,13780.48,13637.96,"179920"
"1061",2013-05-07,14180.24,13960.04,14196.38,13951.81,"217240"
"1062",2013-05-08,14285.69,14196.2,14421.38,14186.83,"252600"
"1063",2013-05-09,14191.48,14366.95,14409.82,14191.48,"268310"
"1064",2013-05-10,14607.54,14449.24,14636.81,14426.74,"312490"
"1065",2013-05-13,14782.21,14759.5,14849.01,14727.7,"387210"
"1066",2013-05-14,14758.42,14822.56,14839.79,14755.08,"304670"
"1067",2013-05-15,15096.03,14962.34,15108.83,14956.38,"435010"
"1068",2013-05-16,15037.24,15146.05,15155.72,14879.51,"375110"
"1069",2013-05-17,15138.12,14926.42,15157.32,14902.3,"314470"
"1070",2013-05-20,15360.81,15260.61,15381.74,15245.8,"368090"
"1071",2013-05-21,15381.02,15264.79,15388.37,15264.42,"514110"
"1072",2013-05-22,15627.26,15440.69,15706.63,15432.64,"476840"
"1073",2013-05-23,14483.98,15739.98,15942.6,14483.98,"595180"
"1074",2013-05-24,14612.45,14731.75,15007.5,13981.52,"461180"
"1075",2013-05-27,14142.65,14373.82,14381.28,14027.42,"307390"
"1076",2013-05-28,14311.98,13943.62,14399.78,13943.62,"336270"
"1077",2013-05-29,14326.46,14492.55,14512.28,14243.49,"297030"
"1078",2013-05-30,13589.03,14072.9,14098.16,13555.66,"321600"
"1079",2013-05-31,13774.54,13804.23,13916.56,13681.39,"280500"
"1080",2013-06-03,13261.82,13551.36,13562.87,13261.82,"282270"
"1081",2013-06-04,13533.76,13186.6,13610.25,13060.94,"378250"
"1082",2013-06-05,13014.87,13566.75,13711.42,13011.16,"303700"
"1083",2013-06-06,12904.02,12925.29,13238.53,12862.02,"313950"
"1084",2013-06-07,12877.53,12706.41,13106.2,12548.2,"324450"
