"","Nifty 50 (NSEI)_history.csv Date","Nifty 50 (NSEI)_history.csv Price","Nifty 50 (NSEI)_history.csv Open","Nifty 50 (NSEI)_history.csv High","Nifty 50 (NSEI)_history.csv Low","Nifty 50 (NSEI)_history.csv Volume"
"1086",2013-05-16,6169.9,6128.25,6187.3,6128.25,"158640000"
"1087",2013-05-17,6187.3,6172.95,6199.95,6146.15,"147280000"
"1088",2013-05-20,6156.9,6198,6229.45,6146.05,"122250000"
"1089",2013-05-21,6114.1,6152.35,6180.25,6102.35,"130590000"
"1090",2013-05-22,6094.5,6127.05,6147.6,6074.45,"133760000"
"1091",2013-05-23,5967.05,6050.4,6081.45,5955.7,"198930000"
"1092",2013-05-24,5983.55,6010.7,6015.3,5936.8,"161620000"
"1093",2013-05-27,6083.15,5989.4,6099.9,5975.55,"115120000"
"1094",2013-05-28,6111.25,6086.35,6127.65,6055.4,"139670000"
"1095",2013-05-29,6104.3,6120.45,6125.05,6069.8,"120210000"
"1096",2013-05-30,6124.05,6072.15,6133.75,6072.15,"194090000"
"1097",2013-05-31,5985.95,6098.7,6106.25,5975.55,"175310000"
"1098",2013-06-03,5939.3,5997.35,6011,5916.35,"112120000"
"1099",2013-06-04,5919.45,5941.1,5981.6,5910.25,"114450000"
"1100",2013-06-05,5923.85,5908.3,5935.2,5883.7,"110220000"
"1101",2013-06-06,5921.4,5895,5956.55,5869.5,"114180000"
"1102",2013-06-07,5881,5900.05,5972.7,5871.3,"118350000"
"1103",2013-06-10,5878,5907.9,5931.65,5857.4,"100130000"
"1104",2013-06-11,5788.8,5848.75,5868.05,5780.35,"180900000"
"1105",2013-06-12,5760.2,5771.75,5792.9,5738.6,"140390000"
"1106",2013-06-13,5699.1,5709.35,5729.85,5683.1,"142040000"
"1107",2013-06-14,5808.4,5748.95,5819.4,5739.4,"124410000"
"1108",2013-06-17,5850.05,5820.4,5854.9,5770.25,"107160000"
"1109",2013-06-18,5813.6,5841.9,5863.4,5804.3,"117540000"
"1110",2013-06-19,5822.25,5805.75,5828.4,5777.9,"115540000"
"1111",2013-06-20,5655.9,5754.15,5755,5645.65,"198400000"
"1112",2013-06-21,5667.65,5639.9,5686.15,5616.85,"182410000"
