"","CSE All-Share (CSE)_history.csv Date","CSE All-Share (CSE)_history.csv Price","CSE All-Share (CSE)_history.csv Open","CSE All-Share (CSE)_history.csv High","CSE All-Share (CSE)_history.csv Low","CSE All-Share (CSE)_history.csv Volume"
"1553",2015-06-04,7120.91,7147.85,7158.94,7120.91,"28740000"
"1554",2015-06-05,7122.73,7129.68,7156.8,7120.91,"18510000"
"1555",2015-06-08,7078.66,7122.62,7135.13,7078.66,"16790000"
"1556",2015-06-09,7067.11,7077.55,7090.26,7067.11,"14990000"
"1557",2015-06-10,7063.45,7066.53,7077.06,7052.98,"15300000"
"1558",2015-06-11,7051.52,7063.34,7080.73,7051.52,"26150000"
"1559",2015-06-12,7061.28,7054.2,7065.09,7040.08,"35780000"
"1560",2015-06-15,7078.97,7071.76,7086.84,7061.28,"23020000"
"1561",2015-06-16,7044.6,7081.07,7088.22,7042.87,"19840000"
"1562",2015-06-17,7049.71,7045.36,7069.41,7035.81,"181180000"
"1563",2015-06-18,7064.15,7051.47,7065.93,7048.18,"41130000"
"1564",2015-06-19,7035.15,7065.94,7068.65,7032.85,"30030000"
"1565",2015-06-22,7039.65,7037.04,7052.47,7026.65,"24260000"
"1566",2015-06-23,7053.96,7040.76,7066.89,7039.65,"47130000"
"1567",2015-06-24,7053.83,7054.59,7072.85,7045.56,"24690000"
"1568",2015-06-25,7031.33,7054.78,7058.02,7031.33,"17500000"
"1569",2015-06-26,7016.2,7031.05,7035.31,7015.87,"25580000"
"1570",2015-06-29,7032.15,7024.06,7043.2,7016.2,"20180000"
"1571",2015-06-30,7020.8,7032.95,7035.01,7012.12,"22170000"
"1572",2015-07-02,6982.8,7018.27,7020.86,6982.8,"19300000"
"1573",2015-07-03,7007.05,6982.96,7016.57,6982.72,"96710000"
"1574",2015-07-06,6989.41,7010.51,7024.67,6989.31,"1.9e+07"
"1575",2015-07-07,6967.78,6991.71,6998.43,6966.81,"17060000"
"1576",2015-07-08,6923.79,6967.41,6967.78,6923.79,"12470000"
"1577",2015-07-09,6947.05,6925.33,6947.05,6921.64,"72690000"
"1578",2015-07-10,6984.12,6946.15,6993.99,6946.03,"31930000"
"1579",2015-07-13,6984.12,6946.15,6993.99,6946.03,"32100000"
"1580",2015-07-14,7027,7003.96,7034.8,7002.78,"10980000"
"1581",2015-07-15,7066.19,7030.63,7085,7027,"15880000"
"1582",2015-07-16,7124.14,7068.92,7133.28,7066.19,"35750000"
"1583",2015-07-17,7161.96,7127.48,7172.67,7124.14,"47210000"
"1584",2015-07-20,7147.86,7162.7,7177.4,7147.86,"26470000"
"1585",2015-07-21,7145.59,7148.49,7158.46,7144.3,"19140000"
"1586",2015-07-22,7199.63,7145.92,7206.35,7145.59,"45750000"
"1587",2015-07-23,7212.62,7202.62,7231.08,7199.63,"66980000"
"1588",2015-07-24,7269.05,7214.67,7269.62,7212.62,"43220000"
"1589",2015-07-27,7247.23,7267.12,7280.59,7243.01,"31190000"
"1590",2015-07-28,7261.07,7247.78,7275.45,7245.98,"30750000"
"1591",2015-07-29,7313.97,7270.39,7323.17,7261.07,"54560000"
"1592",2015-07-30,7332.05,7325.5,7340.24,7312.76,"84200000"
"1593",2015-08-03,7336.59,7334.11,7358.09,7327.84,"32430000"
"1594",2015-08-04,7310.05,7336.55,7345.18,7308.15,"39380000"
"1595",2015-08-05,7366.31,7315.94,7379.69,7310.05,"64730000"
"1596",2015-08-06,7377.24,7368.38,7388.02,7366.31,"78630000"
"1597",2015-08-07,7370.6,7380.4,7392.59,7368.53,"35470000"
"1598",2015-08-10,7377.94,7371.05,7385.11,7365.19,"44670000"
"1599",2015-08-11,7458.92,7379.99,7468.74,7377.94,"50280000"
"1600",2015-08-12,7471.9,7458.65,7490.45,7458.65,"47900000"
"1601",2015-08-13,7442.75,7474.87,7482.52,7432.55,"36480000"
"1602",2015-08-14,7498.7,7501.1,7526.07,7492.04,"56710000"
"1603",2015-08-17,7492.04,7469.75,7504.18,7462.34,"47660000"
"1604",2015-08-18,7498.7,7501.1,7526.07,7492.04,"56710000"
"1605",2015-08-19,7498.78,7498.76,7531.28,7498.7,"87860000"
"1606",2015-08-20,7449.82,7498.34,7500.14,7445.25,"47490000"
"1607",2015-08-21,7471.17,7449.06,7479.37,7449.06,"43390000"
"1608",2015-08-24,7331.09,7471.16,7473.51,7324.93,"390860000"
"1609",2015-08-25,7231.58,7330.62,7343.71,7231.58,"60380000"
"1610",2015-08-26,7240.1,7229.28,7287.87,7228.38,"5e+07"
"1611",2015-08-27,7273.14,7241.86,7288.77,7240.1,"32370000"
"1612",2015-08-28,7350.52,7274.73,7362.53,7273.14,"44420000"
"1613",2015-08-31,7306.94,7354.9,7359.09,7304.8,"27570000"
"1614",2015-09-01,7298.75,7306.87,7326.26,7298.75,"35550000"
"1615",2015-09-02,7240.39,7299.15,7299.2,7240.39,"17690000"
"1616",2015-09-03,7245.5,7240.57,7262.13,7239.72,"13060000"
"1617",2015-09-04,7215.11,7249.74,7252.6,7215.11,"17340000"
"1618",2015-09-07,7149.7,7211.78,7223.32,7149.7,"16600000"
"1619",2015-09-08,7124.46,7149.25,7157.85,7121.29,"16720000"
"1620",2015-09-09,7183.25,7126.39,7186.38,7124.46,"21680000"
"1621",2015-09-10,7159.94,7187.2,7189.58,7157.12,"20610000"
"1622",2015-09-11,7153.49,7162.86,7167.95,7149.55,"19420000"
"1623",2015-09-14,7162.44,7154.76,7166.94,7153.49,"17540000"
"1624",2015-09-15,7152.43,7162.36,7175.54,7148.25,"15720000"
"1625",2015-09-16,7137.4,7152.77,7161.23,7126.64,"18410000"
"1626",2015-09-17,7113.51,7138.67,7147.07,7109.31,"20700000"
"1627",2015-09-18,7107.87,7115.08,7119.77,7102.37,"12990000"
"1628",2015-09-21,7104.37,7110.2,7116.85,7101.67,"15480000"
"1629",2015-09-22,7118.38,7104.88,7130.29,7101.22,"40820000"
"1630",2015-09-23,7114.83,7119.74,7136.11,7107.7,"29690000"
"1631",2015-09-25,7110.8,7120.41,7127.76,7106.92,"34540000"
