"","MICEX (MCX)_history.csv Date","MICEX (MCX)_history.csv Price","MICEX (MCX)_history.csv Open","MICEX (MCX)_history.csv High","MICEX (MCX)_history.csv Low","MICEX (MCX)_history.csv Volume"
"804",2012-03-26,1565.12,1540.39,1568.85,1539.52,
"805",2012-03-27,1554.28,1565.12,1574.27,1549.27,
"806",2012-03-28,1520.37,1554.38,1555.63,1518.49,
"807",2012-03-29,1494.86,1520.37,1521.58,1486.93,
"808",2012-03-30,1517.34,1494.86,1531.89,1493.92,
"809",2012-04-02,1521.9,1517.33,1537.73,1508.32,
"810",2012-04-03,1550.05,1521.9,1556.5,1521.74,
"811",2012-04-04,1512.88,1550.04,1550.04,1506.65,
"812",2012-04-05,1525.11,1512.88,1527.09,1495.49,
"813",2012-04-06,1497.19,1525.1,1529.72,1494.66,
"814",2012-04-09,1510.49,1497.19,1511.42,1477.47,
"815",2012-04-10,1498.07,1510.51,1520.12,1497.92,
"816",2012-04-11,1505.77,1498.08,1520.37,1485.89,
"817",2012-04-12,1501.63,1505.77,1512.45,1488.82,
"818",2012-04-13,1502.65,1501.63,1516.37,1496.93,
"819",2012-04-16,1477.71,1502.67,1505.56,1475.56,
"820",2012-04-17,1471.61,1477.75,1481.23,1463.04,
"821",2012-04-18,1468.55,1471.61,1485.58,1465.5,
"822",2012-04-19,1496.6,1468.55,1503.77,1467.21,
"823",2012-04-20,1505.1,1496.6,1506.78,1485.17,
"824",2012-04-23,1466.34,1505.1,1505.12,1462.75,
"825",2012-04-24,1457.4,1466.27,1472.12,1445.85,
"826",2012-04-25,1461.85,1457.42,1470.18,1457.14,
"827",2012-04-26,1447.06,1461.85,1467.16,1440.82,
"828",2012-04-27,1469.65,1447.06,1469.79,1439.96,
"829",2012-04-28,1473.5,1469.65,1474.09,1468.36,
"830",2012-05-02,1446.04,1473.5,1489.9,1445.72,
"831",2012-05-03,1442.71,1446.04,1456.52,1437.21,
"832",2012-05-04,1391.14,1442.73,1442.92,1385.75,
"833",2012-05-05,1386.41,1391.14,1392.55,1381.25,
"834",2012-05-07,1385.14,1386.41,1393.08,1350.17,
"835",2012-05-08,1384.02,1385.14,1399.58,1371.21,
"836",2012-05-10,1408.31,1384.02,1418.09,1381.66,
"837",2012-05-11,1392,1408.31,1409.22,1373.38,
"838",2012-05-12,1385.81,1392,1392.82,1372.83,
"839",2012-05-14,1337.42,1385.81,1388.29,1333.73,
"840",2012-05-15,1344.75,1337.42,1357.89,1311.71,
"841",2012-05-16,1335.1,1344.76,1345.08,1316.42,
"842",2012-05-17,1287.79,1335.08,1342.88,1282.59,
"843",2012-05-18,1271.48,1287.79,1293.41,1246.52,
"844",2012-05-21,1298.42,1271.28,1298.45,1261.34,
"845",2012-05-22,1301.09,1298.4,1307.09,1286.6,
"846",2012-05-23,1256.55,1301.02,1301.81,1251.92,
"847",2012-05-24,1284.48,1256.55,1286.55,1241.62,
"848",2012-05-25,1281.6,1284.48,1295.03,1273.57,
"849",2012-05-28,1290.72,1281.61,1304.28,1280.85,
"850",2012-05-29,1327.08,1290.72,1329.3,1290.72,
"851",2012-05-30,1308.3,1327.08,1327.41,1300.21,
"852",2012-05-31,1306.42,1308.3,1327.25,1303.7,
"853",2012-06-01,1298.08,1306.43,1320.48,1278.56,
"854",2012-06-04,1305.86,1298.08,1314.23,1280.29,
"855",2012-06-05,1297.04,1305.86,1320.61,1291,
"856",2012-06-06,1313.21,1297.04,1317.37,1289.4,
"857",2012-06-07,1336.33,1313.21,1340.25,1297.79,
"858",2012-06-08,1332.92,1336.38,1336.44,1316.02,
"859",2012-06-09,1338.07,1332.92,1341.32,1332.94,
"860",2012-06-13,1346.43,1338.07,1357.43,1333.37,
"861",2012-06-14,1346.04,1346.43,1348.48,1333.58,
"862",2012-06-15,1375.23,1346.04,1379.65,1342.37,
"863",2012-06-18,1389,1375.21,1392.43,1375.05,
"864",2012-06-19,1389.97,1389.12,1397.33,1382.3,
"865",2012-06-20,1374.69,1389.97,1392.12,1370.96,
"866",2012-06-21,1363.58,1374.69,1382.67,1363.14,
"867",2012-06-22,1347.15,1363.58,1363.58,1342.32,
"868",2012-06-25,1330.15,1347.16,1349.62,1325.74,
"869",2012-06-26,1342.82,1330.15,1349.78,1329.65,
"870",2012-06-27,1365.93,1342.82,1366.23,1341.62,
"871",2012-06-28,1342.91,1365.93,1379.17,1341.03,
"872",2012-06-29,1387.52,1342.91,1390.08,1340.66,
"873",2012-07-02,1402.74,1387.52,1406.21,1383.67,
"874",2012-07-03,1437.45,1402.74,1440.65,1402.74,
"875",2012-07-04,1444.31,1437.19,1446.38,1426.02,
"876",2012-07-05,1435.76,1444.3,1458.33,1430.47,
"877",2012-07-06,1414.28,1435.75,1440.89,1408.42,
"878",2012-07-09,1414.62,1414.29,1423.11,1405.72,
"879",2012-07-10,1422.58,1414.64,1433.56,1401.96,
"880",2012-07-11,1405.15,1422.58,1422.58,1396.73,
"881",2012-07-12,1394.3,1405.15,1406.63,1379.11,
"882",2012-07-13,1416.5,1394.3,1418.24,1394.3,
"883",2012-07-16,1422.03,1416.48,1423.86,1412.98,
"884",2012-07-17,1430.17,1422.03,1442.14,1421.32,
"885",2012-07-18,1426.29,1430.17,1436.39,1423.79,
"886",2012-07-19,1434.47,1426.29,1444.83,1426.29,
"887",2012-07-20,1415.38,1434.49,1435.62,1414.01,
"888",2012-07-23,1372.97,1415.38,1416.4,1367.73,
"889",2012-07-24,1365.75,1372.95,1382.91,1359.02,
"890",2012-07-25,1367.67,1365.75,1385.2,1353.58,
"891",2012-07-26,1384.06,1367.67,1385.44,1358.59,
"892",2012-07-27,1406.3,1384.06,1406.91,1383.39,
