"","Shanghai Composite (SSEC)_history.csv Date","Shanghai Composite (SSEC)_history.csv Price","Shanghai Composite (SSEC)_history.csv Open","Shanghai Composite (SSEC)_history.csv High","Shanghai Composite (SSEC)_history.csv Low","Shanghai Composite (SSEC)_history.csv Volume"
"1381",2014-09-09,2326.53,2328.43,2331.92,2315.89,"196990"
"1382",2014-09-10,2318.31,2318.5,2321.91,2306.42,"189830"
"1383",2014-09-11,2311.68,2315.73,2343.59,2304.6,"222220"
"1384",2014-09-12,2331.95,2308.35,2331.95,2302.77,"193470"
"1385",2014-09-15,2339.14,2330.19,2340.45,2321.59,"215110"
"1386",2014-09-16,2296.56,2341.03,2347.93,2293.87,"302690"
"1387",2014-09-17,2307.89,2298.98,2309.05,2282.79,"210840"
"1388",2014-09-18,2315.93,2303.85,2319.87,2297.93,"189090"
"1389",2014-09-19,2329.45,2312.98,2331.56,2305.52,"174650"
"1390",2014-09-22,2289.87,2323.55,2323.55,2284.38,"175840"
"1391",2014-09-23,2309.72,2289.09,2311.53,2289.02,"156860"
"1392",2014-09-24,2343.57,2302.23,2345.75,2297.88,"222530"
"1393",2014-09-25,2345.1,2352.86,2365.15,2336.81,"225690"
"1394",2014-09-26,2347.72,2339.29,2350.11,2329.96,"174750"
"1395",2014-09-29,2357.71,2353.71,2363.06,2346.58,"200110"
"1396",2014-09-30,2363.87,2361.32,2365.49,2354.27,"193920"
"1397",2014-10-08,2382.79,2368.58,2382.79,2354.29,"204400"
"1398",2014-10-09,2389.37,2383.86,2391.35,2367.11,"235920"
"1399",2014-10-10,2374.54,2380.76,2386.28,2365.07,"224670"
"1400",2014-10-13,2366.01,2366.43,2366.86,2341.12,"200900"
"1401",2014-10-14,2359.47,2362.8,2380.52,2349.19,"196830"
"1402",2014-10-15,2373.67,2358.23,2374.81,2344.37,"202810"
"1403",2014-10-16,2356.5,2361.13,2389.67,2353.41,"248200"
"1404",2014-10-17,2341.18,2352.78,2360.6,2312.83,"212300"
"1405",2014-10-20,2356.73,2346.05,2357.51,2340.46,"160020"
"1406",2014-10-21,2339.66,2355.03,2361.65,2337.55,"168830"
"1407",2014-10-22,2326.55,2339.22,2352.12,2324.59,"152700"
"1408",2014-10-23,2302.42,2322.32,2329.93,2297.33,"162640"
"1409",2014-10-24,2302.28,2303.08,2314.87,2296.66,"132230"
"1410",2014-10-27,2290.44,2293.57,2293.64,2279.84,"130260"
"1411",2014-10-28,2337.87,2294.01,2338.28,2294.01,"178590"
"1412",2014-10-29,2373.03,2343.72,2381.64,2339.71,"265590"
"1413",2014-10-30,2391.08,2371.89,2397.26,2365.92,"294650"
"1414",2014-10-31,2420.18,2393.18,2423.6,2384.48,"325760"
"1415",2014-11-03,2430.03,2425.22,2436.79,2418.17,"298820"
"1416",2014-11-04,2430.68,2428.27,2435.22,2417.22,"309010"
"1417",2014-11-05,2419.25,2432.17,2434.36,2415.5,"263610"
"1418",2014-11-06,2425.86,2419.62,2426.89,2401.75,"222010"
"1419",2014-11-07,2418.17,2427.9,2454.42,2407.44,"291170"
"1420",2014-11-10,2473.67,2436.63,2474.16,2428.19,"300630"
"1421",2014-11-11,2469.67,2483.65,2508.62,2445.96,"411900"
