"","KOSPI (KS11)_history.csv Date","KOSPI (KS11)_history.csv Price","KOSPI (KS11)_history.csv Open","KOSPI (KS11)_history.csv High","KOSPI (KS11)_history.csv Low","KOSPI (KS11)_history.csv Volume"
"549",2011-03-10,1981.58,1999.38,2001.27,1973.88,"288390"
"550",2011-03-11,1955.54,1956.34,1970.7,1949.32,"267170"
"551",2011-03-14,1971.23,1949.08,1971.23,1928.99,"388620"
"552",2011-03-15,1923.92,1966.82,1985.82,1882.09,"403890"
"553",2011-03-16,1957.97,1951.68,1965.15,1931.38,"284420"
"554",2011-03-17,1959.03,1921.59,1961.09,1919.13,"305710"
"555",2011-03-18,1981.13,1963.17,1988.04,1960.49,"291300"
"556",2011-03-21,2003.42,1985.47,2005.32,1985.15,"292260"
"557",2011-03-22,2013.66,2012.48,2016.27,2004.36,"304110"
"558",2011-03-23,2012.18,2019.18,2022.14,2005.59,"312570"
"559",2011-03-24,2036.78,2022.26,2036.93,2022.08,"295490"
"560",2011-03-25,2054.04,2058.35,2060.29,2041.72,"311220"
"561",2011-03-28,2056.39,2054.28,2059.92,2043.99,"285360"
"562",2011-03-29,2072.13,2052.87,2072.13,2050.09,"250470"
"563",2011-03-30,2091.38,2075.91,2100.2,2074.26,"316860"
"564",2011-03-31,2106.7,2098.09,2106.74,2089.12,"317890"
"565",2011-04-01,2121.01,2107.67,2121.02,2101.83,"337940"
"566",2011-04-04,2115.87,2124.37,2125.53,2103.82,"301800"
"567",2011-04-05,2130.43,2118.08,2130.43,2107.78,"327660"
"568",2011-04-06,2126.71,2129.13,2136.29,2119.66,"423050"
"569",2011-04-07,2122.14,2133.31,2135.73,2111.54,"382810"
"570",2011-04-08,2127.97,2119.01,2135.98,2118.72,"392840"
"571",2011-04-11,2122.39,2127.2,2135.33,2115.89,"316070"
"572",2011-04-12,2089.4,2117.21,2117.21,2088.67,"311140"
"573",2011-04-13,2121.92,2091.68,2121.93,2081.98,"348090"
"574",2011-04-14,2141.06,2116.49,2141.07,2109.63,"371730"
"575",2011-04-15,2140.5,2136.27,2142.71,2126.59,"356650"
"576",2011-04-18,2137.72,2146.83,2149.45,2128.02,"358280"
"577",2011-04-19,2122.68,2117.94,2136.95,2111.6,"375030"
"578",2011-04-20,2169.91,2146.38,2169.94,2138.8,"374320"
"579",2011-04-21,2198.54,2190.64,2211.36,2183.52,"415980"
"580",2011-04-22,2197.82,2203.04,2208.06,2190.87,"390810"
"581",2011-04-25,2216,2205.2,2218.07,2199.27,"354020"
"582",2011-04-26,2206.3,2219.47,2222.56,2196.76,"439340"
"583",2011-04-27,2206.7,2225.95,2231.47,2191.82,"423200"
"584",2011-04-28,2208.35,2215.42,2225.35,2194.15,"354850"
