"","PSI 20 (PSI20)_history.csv Date","PSI 20 (PSI20)_history.csv Price","PSI 20 (PSI20)_history.csv Open","PSI 20 (PSI20)_history.csv High","PSI 20 (PSI20)_history.csv Low","PSI 20 (PSI20)_history.csv Volume"
"576",2012-08-13,4819.51,4837.89,4848.74,4792.1,"31780000"
"577",2012-08-14,4836.42,4858.44,4870.45,4814.17,"21460000"
"578",2012-08-15,4829.41,4836,4842.83,4814.97,"12870000"
"579",2012-08-16,4849.98,4834.89,4856.51,4816.64,"27470000"
"580",2012-08-17,4908.72,4860.59,4916.35,4854.45,"47910000"
"581",2012-08-20,4966.21,4908.88,4978.01,4906.98,"63780000"
"582",2012-08-21,4970.03,4968.96,5017.17,4967.5,"39910000"
"583",2012-08-22,4964.9,4962.62,4964.9,4906.7,"55850000"
"584",2012-08-23,4881.62,4981.65,4988.06,4851.06,"39320000"
"585",2012-08-24,4876.91,4878.18,4892.95,4843.19,"33940000"
"586",2012-08-27,4960.92,4883.22,4975.04,4871.45,"32520000"
"587",2012-08-28,4979.32,4955.6,4979.32,4927.56,"48500000"
"588",2012-08-29,4977.94,4986.97,4988.51,4956.83,"38510000"
"589",2012-08-30,4944.7,4977.92,4981.03,4930.84,"32320000"
"590",2012-08-31,4998.86,4939.86,5013.38,4930.41,"44350000"
"591",2012-09-03,5065.1,5011.92,5065.63,5008.58,"25870000"
"592",2012-09-04,5050.85,5077.44,5097.68,5050.85,"46310000"
"593",2012-09-05,5049.04,5050.5,5078.86,5029.66,"55800000"
"594",2012-09-06,5171.77,5039.05,5184.21,5028.44,"152820000"
"595",2012-09-07,5278.4,5220.28,5306.18,5220.28,"190220000"
"596",2012-09-10,5290.79,5272.05,5301.5,5240.81,"101050000"
"597",2012-09-11,5330.31,5293.62,5330.31,5245.13,"220780000"
"598",2012-09-12,5366.49,5357.92,5393.27,5328.3,"165040000"
"599",2012-09-13,5334.03,5361.45,5366.27,5332.94,"112010000"
"600",2012-09-14,5435.63,5392.77,5457.52,5389.87,"234370000"
"601",2012-09-17,5399.5,5386.79,5408.4,5364.84,"83690000"
"602",2012-09-18,5301.6,5360.65,5362.57,5277.02,"105930000"
"603",2012-09-19,5333.59,5306.61,5306.61,5306.1,"174680000"
"604",2012-09-20,5337.92,5322.79,5343.92,5303.36,"151920000"
"605",2012-09-21,5428.35,5365.03,5428.35,5355.66,"158540000"
"606",2012-09-24,5355.39,5414.8,5425,5349.41,"263500000"
"607",2012-09-25,5333.38,5348.79,5360.34,5319.86,"112690000"
"608",2012-09-26,5213.57,5267.39,5270.11,5164.29,"109930000"
"609",2012-09-27,5232.37,5222.45,5269.56,5202.13,"68560000"
"610",2012-09-28,5202.76,5261.46,5267.95,5173.01,"110290000"
"611",2012-10-01,5235.34,5195.58,5242.4,5180.38,"110970000"
"612",2012-10-02,5265.83,5225.44,5295.51,5218.54,"95740000"
"613",2012-10-03,5318.17,5255.24,5326.45,5245.53,"108760000"
"614",2012-10-04,5290.3,5327.87,5327.87,5259.97,"150820000"
"615",2012-10-05,5387.71,5310.66,5388.45,5287.73,"268330000"
"616",2012-10-08,5368.98,5346.4,5381.01,5317.21,"460970000"
"617",2012-10-09,5361.43,5385.36,5391.65,5347.66,"347120000"
"618",2012-10-10,5310.47,5342.6,5388.87,5305.19,"260270000"
"619",2012-10-11,5376.64,5296.8,5394.48,5280.58,"222540000"
"620",2012-10-12,5360.52,5378.95,5400.51,5342.35,"209020000"
"621",2012-10-15,5350.72,5359.25,5394.16,5340.2,"152800000"
"622",2012-10-16,5419.3,5378.05,5419.3,5343.87,"257280000"
"623",2012-10-17,5440.43,5432.48,5454.19,5416.02,"111270000"
"624",2012-10-18,5533.03,5457.91,5559.75,5440.27,"289770000"
"625",2012-10-19,5442.84,5527.03,5561.95,5441.63,"312200000"
"626",2012-10-22,5468.65,5456.97,5509.08,5439.33,"172830000"
"627",2012-10-23,5395.26,5478.56,5480.48,5369.44,"178270000"
"628",2012-10-24,5418.64,5417.79,5429.02,5343.89,"190280000"
"629",2012-10-25,5390.58,5413.84,5449.48,5368.55,"96560000"
"630",2012-10-26,5390.91,5383.17,5411.73,5348.04,"149410000"
