"","S&P ASX 200 (AXJO)_history.csv Date","S&P ASX 200 (AXJO)_history.csv Price","S&P ASX 200 (AXJO)_history.csv Open","S&P ASX 200 (AXJO)_history.csv High","S&P ASX 200 (AXJO)_history.csv Low","S&P ASX 200 (AXJO)_history.csv Volume"
"1573",2015-02-13,5877.47,5743.6,5893.5,5743.6,"753740000"
"1574",2015-02-15,5860.4,5891.7,5893.4,5858,"182390000"
"1575",2015-02-16,5888.66,5877.5,5893.4,5841.9,"629090000"
"1576",2015-02-17,5858.21,5888.7,5888.7,5844.8,"585340000"
"1577",2015-02-18,5915.68,5858.2,5915.7,5845.6,"800970000"
"1578",2015-02-19,5904.23,5915.7,5946.8,5889.5,"681260000"
"1579",2015-02-20,5881.54,5904.2,5910.8,5872.9,"591490000"
"1580",2015-02-22,5891.9,5885.1,5891.9,5869.2,"156450000"
"1581",2015-02-23,5907.98,5881.5,5915.8,5869.2,"639100000"
"1582",2015-02-24,5926.99,5908,5930.4,5884.8,"733870000"
"1583",2015-02-25,5944.9,5927,5955.5,5914.5,"788040000"
"1584",2015-02-26,5908.49,5944.9,5944.9,5900,"778310000"
"1585",2015-02-27,5928.77,5908.5,5944.8,5874.8,"1.1e+09"
"1586",2015-03-01,5966.5,5930.8,5967.1,5930.8,"107180000"
"1587",2015-03-02,5958.88,5928.8,5983.6,5928.8,"636770000"
"1588",2015-03-03,5933.9,5958.9,5996.9,5903.2,"714430000"
"1589",2015-03-04,5901.59,5933.9,5947.7,5898.1,"624300000"
"1590",2015-03-05,5904.16,5901.6,5904.2,5869.2,"682060000"
"1591",2015-03-06,5898.86,5904.2,5916.4,5870.7,"598330000"
"1592",2015-03-08,5855.7,5871.1,5873.3,5842.5,"139940000"
"1593",2015-03-09,5821.35,5898.9,5898.9,5814.7,"636350000"
"1594",2015-03-10,5824.19,5821.3,5856.7,5811.7,"657310000"
"1595",2015-03-11,5793.2,5824.2,5824.2,5748.7,"695350000"
"1596",2015-03-12,5850.17,5793.2,5855.3,5786.3,"641090000"
"1597",2015-03-13,5814.54,5850.2,5855.1,5799,"585440000"
"1598",2015-03-15,5764.3,5797.6,5797.6,5761.6,"110180000"
"1599",2015-03-16,5797.66,5814.5,5814.5,5761.6,"501880000"
"1600",2015-03-17,5842.12,5797.7,5863.4,5797.7,"614700000"
"1601",2015-03-18,5842.35,5842.1,5845.3,5788.6,"732940000"
"1602",2015-03-19,5950.81,5842.3,5953.3,5842.3,"1.13e+09"
"1603",2015-03-20,5975.49,5945.6,5979.8,5927.9,"1.29e+09"
"1604",2015-03-22,5977.4,5978.2,5995,5971,"99110000"
"1605",2015-03-23,5956.14,5975.5,5995,5951.5,"490370000"
