"","FTSE 100 (FTSE)_history.csv Date","FTSE 100 (FTSE)_history.csv Price","FTSE 100 (FTSE)_history.csv Open","FTSE 100 (FTSE)_history.csv High","FTSE 100 (FTSE)_history.csv Low","FTSE 100 (FTSE)_history.csv Volume"
"792",2012-02-21,5928.2,5945.25,5948.84,5916.58,"846270000"
"793",2012-02-22,5916.55,5928.2,5937.96,5894.6,"872090000"
"794",2012-02-23,5937.89,5916.55,5952.47,5900.5,"1.07e+09"
"795",2012-02-24,5935.13,5937.89,5964.02,5925.47,"1.01e+09"
"796",2012-02-27,5915.55,5935.13,5935.13,5865.85,"966770000"
"797",2012-02-28,5927.91,5915.55,5937.02,5899.99,"804670000"
"798",2012-02-29,5871.51,5927.91,5944.75,5871.51,"1.2e+09"
"799",2012-03-01,5931.25,5871.51,5936.07,5858.85,"900750000"
"800",2012-03-02,5911.13,5931.25,5939.97,5908.48,"736460000"
"801",2012-03-05,5874.82,5911.13,5911.13,5865.38,"873450000"
"802",2012-03-06,5765.8,5874.82,5874.82,5758.42,"989890000"
"803",2012-03-07,5791.41,5765.8,5801.12,5755.69,"859930000"
"804",2012-03-08,5859.73,5791.41,5874.34,5791.41,"828110000"
"805",2012-03-09,5887.49,5859.73,5897.6,5842.94,"854780000"
"806",2012-03-12,5892.75,5887.49,5894.07,5860.42,"800490000"
"807",2012-03-13,5955.91,5892.75,5957.94,5892.75,"761930000"
"808",2012-03-14,5945.43,5955.91,5989.07,5945.43,"1.17e+09"
"809",2012-03-15,5940.72,5945.43,5958.17,5919.21,"1.03e+09"
"810",2012-03-16,5965.58,5940.72,5974.05,5940.72,"1.83e+09"
"811",2012-03-19,5961.11,5965.58,5968.89,5928.45,"951070000"
"812",2012-03-20,5891.41,5961.11,5961.11,5876.42,"978550000"
"813",2012-03-21,5891.95,5891.41,5921.68,5880.79,"907210000"
"814",2012-03-22,5845.65,5891.95,5891.95,5825.91,"883160000"
"815",2012-03-23,5854.89,5845.65,5875.73,5801.72,"848520000"
"816",2012-03-26,5902.7,5854.89,5913.06,5854.47,"722860000"
"817",2012-03-27,5869.55,5902.7,5941.9,5863.83,"1.26e+09"
"818",2012-03-28,5808.99,5869.55,5877.94,5808.99,"931500000"
"819",2012-03-29,5742.03,5808.99,5812.17,5726.5,"1.08e+09"
"820",2012-03-30,5768.45,5742.03,5782.71,5742.03,"990170000"
"821",2012-04-02,5874.89,5768.45,5874.89,5748.63,"886250000"
"822",2012-04-03,5838.34,5874.89,5890.16,5838.34,"896430000"
"823",2012-04-04,5703.77,5838.34,5838.34,5685.65,"1.17e+09"
"824",2012-04-05,5723.67,5703.77,5731.67,5663.32,"905680000"
"825",2012-04-10,5595.55,5723.67,5723.67,5595.55,"1.01e+09"
"826",2012-04-11,5634.74,5595.55,5655.87,5576.37,"1.13e+09"
"827",2012-04-12,5710.46,5634.74,5727.87,5602.56,"1.12e+09"
"828",2012-04-13,5651.79,5710.46,5710.82,5643.51,"830220000"
"829",2012-04-16,5666.28,5651.79,5707.96,5641.07,"1.1e+09"
"830",2012-04-17,5766.95,5666.28,5773.73,5651.53,"856430000"
"831",2012-04-18,5745.29,5766.95,5783.88,5730.91,"873960000"
"832",2012-04-19,5744.55,5745.29,5792.07,5738.11,"958390000"
"833",2012-04-20,5772.15,5744.55,5775.67,5724.2,"847830000"
"834",2012-04-23,5665.57,5772.15,5772.15,5637.73,"777190000"
"835",2012-04-24,5709.49,5665.57,5714.17,5658.49,"807900000"
"836",2012-04-25,5718.89,5709.49,5745,5703.21,"859130000"
"837",2012-04-26,5748.72,5718.89,5761.14,5691.72,"879960000"
"838",2012-04-27,5777.11,5748.72,5788.99,5707.95,"812250000"
"839",2012-04-30,5737.78,5777.11,5792.97,5728.87,"784970000"
"840",2012-05-01,5812.23,5737.78,5819,5732.16,"653610000"
"841",2012-05-02,5758.11,5812.23,5819.93,5736.7,"962320000"
"842",2012-05-03,5766.55,5758.11,5800.81,5745.23,"788570000"
"843",2012-05-04,5655.06,5766.55,5766.55,5639.79,"1.01e+09"
"844",2012-05-08,5554.55,5655.06,5668.09,5550.09,"1.05e+09"
"845",2012-05-09,5530.05,5554.55,5571.71,5464.41,"1.01e+09"
"846",2012-05-10,5543.95,5530.05,5566.14,5490.54,"847650000"
"847",2012-05-11,5575.52,5543.95,5585.5,5499.27,"772580000"
"848",2012-05-14,5465.52,5575.52,5575.65,5436.69,"883930000"
"849",2012-05-15,5437.62,5465.52,5507.65,5411.82,"876370000"
"850",2012-05-16,5405.25,5437.62,5448.38,5354,"1.03e+09"
"851",2012-05-17,5338.38,5405.25,5413.32,5309.75,"894670000"
"852",2012-05-18,5267.62,5338.38,5338.38,5256.61,"1.23e+09"
"853",2012-05-21,5304.48,5267.62,5324.36,5253.92,"914310000"
"854",2012-05-22,5403.28,5304.48,5408.65,5304.48,"931860000"
"855",2012-05-23,5266.41,5403.28,5403.67,5262.9,"997830000"
"856",2012-05-24,5350.05,5266.41,5371.75,5266.41,"737280000"
"857",2012-05-25,5351.53,5350.05,5385.17,5312.2,"734360000"
"858",2012-05-28,5356.34,5351.53,5413.83,5341.34,"510690000"
"859",2012-05-29,5391.14,5356.34,5404.66,5342.46,"729590000"
"860",2012-05-30,5297.28,5391.14,5391.14,5284.42,"863480000"
"861",2012-05-31,5320.86,5297.28,5352.05,5272.66,"1.4e+09"
"862",2012-06-01,5260.19,5320.86,5354.45,5229.76,"1.06e+09"
"863",2012-06-06,5384.11,5260.19,5388.03,5260.19,"1.1e+09"
"864",2012-06-07,5447.79,5384.11,5494.54,5384.11,"1.03e+09"
"865",2012-06-08,5435.08,5447.79,5447.79,5381.83,"916400000"
"866",2012-06-11,5432.37,5435.08,5536.27,5419.56,"950510000"
"867",2012-06-12,5473.74,5432.37,5478.63,5414.64,"890750000"
"868",2012-06-13,5483.81,5473.74,5507.65,5436.67,"831010000"
"869",2012-06-14,5467.05,5483.81,5483.81,5424.4,"985630000"
"870",2012-06-15,5478.81,5467.05,5522.87,5465.09,"2.31e+09"
"871",2012-06-18,5491.09,5478.81,5555.32,5461.08,"879530000"
"872",2012-06-19,5586.31,5491.09,5603.14,5491.03,"816800000"
"873",2012-06-20,5622.29,5586.31,5623.85,5566,"903450000"
"874",2012-06-21,5566.36,5622.29,5622.29,5564.79,"785240000"
"875",2012-06-22,5513.69,5566.36,5566.36,5499.97,"677910000"
"876",2012-06-25,5450.65,5513.69,5513.69,5435.46,"716160000"
"877",2012-06-26,5446.96,5450.65,5476.5,5436.27,"631700000"
"878",2012-06-27,5523.92,5446.96,5525.14,5446.96,"678490000"
"879",2012-06-28,5493.06,5523.92,5533.75,5436.5,"1.03e+09"
"880",2012-06-29,5571.15,5493.06,5619.65,5493.06,"1.06e+09"
"881",2012-07-02,5640.64,5571.15,5640.64,5571.15,"696940000"
"882",2012-07-03,5687.73,5640.64,5689,5636.05,"795290000"
"883",2012-07-04,5684.47,5687.73,5699.85,5669.73,"445460000"
"884",2012-07-05,5692.63,5684.47,5727.45,5662.48,"766720000"
"885",2012-07-06,5662.63,5692.63,5695.06,5647.47,"602830000"
"886",2012-07-09,5627.33,5662.63,5669.75,5610.71,"682350000"
"887",2012-07-10,5664.07,5627.33,5688.66,5622.29,"607970000"
"888",2012-07-11,5664.48,5664.07,5674.65,5625.6,"606670000"
"889",2012-07-12,5608.25,5664.48,5664.48,5588.84,"667050000"
"890",2012-07-13,5666.13,5608.25,5675.62,5608.25,"609270000"
"891",2012-07-16,5662.43,5666.13,5670.6,5640.88,"569290000"
"892",2012-07-17,5629.09,5662.43,5676.47,5621.19,"602760000"
"893",2012-07-18,5685.77,5629.09,5688.29,5624.54,"669960000"
"894",2012-07-19,5714.19,5685.77,5718.61,5685.77,"711480000"
"895",2012-07-20,5651.77,5714.19,5714.19,5644.93,"961830000"
"896",2012-07-23,5533.87,5651.77,5651.77,5510.92,"691610000"
"897",2012-07-24,5499.23,5533.87,5556.63,5486.99,"551200000"
"898",2012-07-25,5498.32,5499.23,5526.09,5478.02,"621390000"
"899",2012-07-26,5573.16,5498.32,5594.51,5478.04,"817690000"
"900",2012-07-27,5627.21,5573.16,5631,5550.9,"732790000"
"901",2012-07-30,5693.63,5627.21,5706.47,5625.67,"648630000"
"902",2012-07-31,5635.28,5693.63,5695.54,5635.28,"645790000"
"903",2012-08-01,5712.82,5635.28,5712.82,5632.97,"554180000"
"904",2012-08-02,5662.3,5712.82,5765.81,5657.25,"805200000"
"905",2012-08-03,5787.28,5662.3,5794.01,5662.3,"748570000"
"906",2012-08-06,5808.77,5787.28,5837.61,5767.1,"613100000"
"907",2012-08-07,5841.24,5808.77,5841.24,5785.01,"779690000"
"908",2012-08-08,5845.92,5841.24,5845.92,5801.08,"588920000"
"909",2012-08-09,5851.51,5845.92,5860.16,5828.44,"741080000"
"910",2012-08-10,5847.11,5851.51,5858.56,5827.71,"466840000"
"911",2012-08-13,5831.88,5847.11,5852.79,5813.63,"410230000"
