project,article,granularity,timestamp,access,agent,views
en.wikipedia,Bitcoin,daily,2016051400,all-access,all-agents,12427
en.wikipedia,Bitcoin,daily,2016051500,all-access,all-agents,12559
en.wikipedia,Bitcoin,daily,2016051600,all-access,all-agents,12247
en.wikipedia,Bitcoin,daily,2016051700,all-access,all-agents,9303
en.wikipedia,Bitcoin,daily,2016051800,all-access,all-agents,10261
en.wikipedia,Bitcoin,daily,2016051900,all-access,all-agents,12704
en.wikipedia,Bitcoin,daily,2016052000,all-access,all-agents,8809
en.wikipedia,Bitcoin,daily,2016052100,all-access,all-agents,7079
en.wikipedia,Bitcoin,daily,2016052200,all-access,all-agents,7734
en.wikipedia,Bitcoin,daily,2016052300,all-access,all-agents,9439
en.wikipedia,Bitcoin,daily,2016052400,all-access,all-agents,9745
en.wikipedia,Bitcoin,daily,2016052500,all-access,all-agents,8550
en.wikipedia,Bitcoin,daily,2016052600,all-access,all-agents,8559
en.wikipedia,Bitcoin,daily,2016052700,all-access,all-agents,8700
en.wikipedia,Bitcoin,daily,2016052800,all-access,all-agents,8140
en.wikipedia,Bitcoin,daily,2016052900,all-access,all-agents,7925
en.wikipedia,Bitcoin,daily,2016053000,all-access,all-agents,13545
en.wikipedia,Bitcoin,daily,2016053100,all-access,all-agents,14649
en.wikipedia,Bitcoin,daily,2016060100,all-access,all-agents,11593
en.wikipedia,Bitcoin,daily,2016060200,all-access,all-agents,9992
en.wikipedia,Bitcoin,daily,2016060300,all-access,all-agents,10522
en.wikipedia,Bitcoin,daily,2016060400,all-access,all-agents,8427
en.wikipedia,Bitcoin,daily,2016060500,all-access,all-agents,11645
en.wikipedia,Bitcoin,daily,2016060600,all-access,all-agents,10709
en.wikipedia,Bitcoin,daily,2016060700,all-access,all-agents,10221
en.wikipedia,Bitcoin,daily,2016060800,all-access,all-agents,9873
en.wikipedia,Bitcoin,daily,2016060900,all-access,all-agents,9686
en.wikipedia,Bitcoin,daily,2016061000,all-access,all-agents,8862
en.wikipedia,Bitcoin,daily,2016061100,all-access,all-agents,8235
en.wikipedia,Bitcoin,daily,2016061200,all-access,all-agents,9122
en.wikipedia,Bitcoin,daily,2016061300,all-access,all-agents,12812
en.wikipedia,Bitcoin,daily,2016061400,all-access,all-agents,11225
en.wikipedia,Bitcoin,daily,2016061500,all-access,all-agents,10453
en.wikipedia,Bitcoin,daily,2016061600,all-access,all-agents,11705
en.wikipedia,Bitcoin,daily,2016061700,all-access,all-agents,11213
en.wikipedia,Bitcoin,daily,2016061800,all-access,all-agents,9926
en.wikipedia,Bitcoin,daily,2016061900,all-access,all-agents,10583
en.wikipedia,Bitcoin,daily,2016062000,all-access,all-agents,12237
en.wikipedia,Bitcoin,daily,2016062100,all-access,all-agents,12419
en.wikipedia,Bitcoin,daily,2016062200,all-access,all-agents,10637
en.wikipedia,Bitcoin,daily,2016062300,all-access,all-agents,10576
en.wikipedia,Bitcoin,daily,2016062400,all-access,all-agents,19485
en.wikipedia,Bitcoin,daily,2016062500,all-access,all-agents,13130
en.wikipedia,Bitcoin,daily,2016062600,all-access,all-agents,8771
en.wikipedia,Bitcoin,daily,2016062700,all-access,all-agents,12055
en.wikipedia,Bitcoin,daily,2016062800,all-access,all-agents,10439
en.wikipedia,Bitcoin,daily,2016062900,all-access,all-agents,11503
en.wikipedia,Bitcoin,daily,2016063000,all-access,all-agents,10351
en.wikipedia,Bitcoin,daily,2016070100,all-access,all-agents,9122
en.wikipedia,Bitcoin,daily,2016070200,all-access,all-agents,8167
en.wikipedia,Bitcoin,daily,2016070300,all-access,all-agents,9208
en.wikipedia,Bitcoin,daily,2016070400,all-access,all-agents,9719
en.wikipedia,Bitcoin,daily,2016070500,all-access,all-agents,9776
en.wikipedia,Bitcoin,daily,2016070600,all-access,all-agents,9550
en.wikipedia,Bitcoin,daily,2016070700,all-access,all-agents,9990
en.wikipedia,Bitcoin,daily,2016070800,all-access,all-agents,9093
en.wikipedia,Bitcoin,daily,2016070900,all-access,all-agents,9336
en.wikipedia,Bitcoin,daily,2016071000,all-access,all-agents,10963
en.wikipedia,Bitcoin,daily,2016071100,all-access,all-agents,10808
en.wikipedia,Bitcoin,daily,2016071200,all-access,all-agents,10526
en.wikipedia,Bitcoin,daily,2016071300,all-access,all-agents,10617
en.wikipedia,Bitcoin,daily,2016071400,all-access,all-agents,9455
en.wikipedia,Bitcoin,daily,2016071500,all-access,all-agents,9026
en.wikipedia,Bitcoin,daily,2016071600,all-access,all-agents,7465
en.wikipedia,Bitcoin,daily,2016071700,all-access,all-agents,8469
en.wikipedia,Bitcoin,daily,2016071800,all-access,all-agents,9265
en.wikipedia,Bitcoin,daily,2016071900,all-access,all-agents,8594
en.wikipedia,Bitcoin,daily,2016072000,all-access,all-agents,8706
en.wikipedia,Bitcoin,daily,2016072100,all-access,all-agents,8963
en.wikipedia,Bitcoin,daily,2016072200,all-access,all-agents,11080
en.wikipedia,Bitcoin,daily,2016072300,all-access,all-agents,7503
en.wikipedia,Bitcoin,daily,2016072400,all-access,all-agents,7720
en.wikipedia,Bitcoin,daily,2016072500,all-access,all-agents,9705
en.wikipedia,Bitcoin,daily,2016072600,all-access,all-agents,11232
en.wikipedia,Bitcoin,daily,2016072700,all-access,all-agents,11588
