project,article,granularity,timestamp,access,agent,views
en.wikipedia,Ethereum,daily,2016030900,all-access,all-agents,1683
en.wikipedia,Ethereum,daily,2016031000,all-access,all-agents,1681
en.wikipedia,Ethereum,daily,2016031100,all-access,all-agents,1426
en.wikipedia,Ethereum,daily,2016031200,all-access,all-agents,1997
en.wikipedia,Ethereum,daily,2016031300,all-access,all-agents,2547
en.wikipedia,Ethereum,daily,2016031400,all-access,all-agents,2615
en.wikipedia,Ethereum,daily,2016031500,all-access,all-agents,2308
en.wikipedia,Ethereum,daily,2016031600,all-access,all-agents,1964
en.wikipedia,Ethereum,daily,2016031700,all-access,all-agents,1799
en.wikipedia,Ethereum,daily,2016031800,all-access,all-agents,1793
en.wikipedia,Ethereum,daily,2016031900,all-access,all-agents,1497
en.wikipedia,Ethereum,daily,2016032000,all-access,all-agents,2381
en.wikipedia,Ethereum,daily,2016032100,all-access,all-agents,3235
en.wikipedia,Ethereum,daily,2016032200,all-access,all-agents,2152
en.wikipedia,Ethereum,daily,2016032300,all-access,all-agents,1988
en.wikipedia,Ethereum,daily,2016032400,all-access,all-agents,1886
en.wikipedia,Ethereum,daily,2016032500,all-access,all-agents,1382
en.wikipedia,Ethereum,daily,2016032600,all-access,all-agents,1049
en.wikipedia,Ethereum,daily,2016032700,all-access,all-agents,1245
en.wikipedia,Ethereum,daily,2016032800,all-access,all-agents,4014
en.wikipedia,Ethereum,daily,2016032900,all-access,all-agents,3276
en.wikipedia,Ethereum,daily,2016033000,all-access,all-agents,2213
en.wikipedia,Ethereum,daily,2016033100,all-access,all-agents,1947
en.wikipedia,Ethereum,daily,2016040100,all-access,all-agents,1622
en.wikipedia,Ethereum,daily,2016040200,all-access,all-agents,1204
en.wikipedia,Ethereum,daily,2016040300,all-access,all-agents,1263
en.wikipedia,Ethereum,daily,2016040400,all-access,all-agents,1671
en.wikipedia,Ethereum,daily,2016040500,all-access,all-agents,1540
en.wikipedia,Ethereum,daily,2016040600,all-access,all-agents,1516
en.wikipedia,Ethereum,daily,2016040700,all-access,all-agents,1578
en.wikipedia,Ethereum,daily,2016040800,all-access,all-agents,1329
en.wikipedia,Ethereum,daily,2016040900,all-access,all-agents,1233
en.wikipedia,Ethereum,daily,2016041000,all-access,all-agents,1217
en.wikipedia,Ethereum,daily,2016041100,all-access,all-agents,1660
en.wikipedia,Ethereum,daily,2016041200,all-access,all-agents,1619
en.wikipedia,Ethereum,daily,2016041300,all-access,all-agents,1463
en.wikipedia,Ethereum,daily,2016041400,all-access,all-agents,1399
