"","GBP_USD_history.csv Date","GBP_USD_history.csv Price","GBP_USD_history.csv Open","GBP_USD_history.csv High","GBP_USD_history.csv Low"
"1689",2015-06-19,1.5884,1.5879,1.5897,1.5833
"1690",2015-06-22,1.5825,1.5867,1.5912,1.5803
"1691",2015-06-23,1.5731,1.5819,1.5833,1.5704
"1692",2015-06-24,1.5706,1.5727,1.5806,1.5666
"1693",2015-06-25,1.5747,1.5702,1.5773,1.5674
"1694",2015-06-26,1.5752,1.5744,1.5768,1.5706
"1695",2015-06-29,1.5738,1.5692,1.5789,1.5664
"1696",2015-06-30,1.571,1.5737,1.5778,1.569
"1697",2015-07-01,1.5618,1.5708,1.5737,1.5589
"1698",2015-07-02,1.5609,1.5613,1.5641,1.556
"1699",2015-07-03,1.5571,1.5607,1.5646,1.5555
"1700",2015-07-06,1.5607,1.5533,1.5634,1.553
"1701",2015-07-07,1.5462,1.56,1.561,1.5412
"1702",2015-07-08,1.5361,1.5461,1.5468,1.5328
"1703",2015-07-09,1.538,1.5358,1.5423,1.5341
"1704",2015-07-10,1.5526,1.5379,1.5552,1.5361
"1705",2015-07-13,1.5489,1.5503,1.5591,1.5477
"1706",2015-07-14,1.5636,1.5485,1.5644,1.5449
"1707",2015-07-15,1.5637,1.5632,1.5676,1.5575
"1708",2015-07-16,1.561,1.5637,1.5654,1.5557
"1709",2015-07-17,1.5609,1.5609,1.5672,1.5554
"1710",2015-07-20,1.5566,1.5607,1.563,1.5536
"1711",2015-07-21,1.5558,1.556,1.5592,1.5527
"1712",2015-07-22,1.5614,1.5557,1.5646,1.5544
"1713",2015-07-23,1.5514,1.5614,1.5673,1.5498
"1714",2015-07-24,1.5514,1.5512,1.5527,1.5465
"1715",2015-07-27,1.5558,1.5508,1.5596,1.5489
"1716",2015-07-28,1.5611,1.5556,1.5629,1.5526
"1717",2015-07-29,1.5604,1.5611,1.5692,1.5586
"1718",2015-07-30,1.5601,1.5595,1.5639,1.556
"1719",2015-07-31,1.5624,1.56,1.5679,1.5547
"1720",2015-08-03,1.5588,1.5623,1.5648,1.5562
"1721",2015-08-04,1.5563,1.5586,1.5636,1.5554
"1722",2015-08-05,1.5602,1.5561,1.5653,1.5524
"1723",2015-08-06,1.5512,1.56,1.5638,1.5466
"1724",2015-08-07,1.5496,1.5508,1.5545,1.5422
"1725",2015-08-10,1.5587,1.549,1.5605,1.5455
"1726",2015-08-11,1.5573,1.5586,1.5613,1.5552
"1727",2015-08-12,1.5615,1.5568,1.5661,1.5532
"1728",2015-08-13,1.5611,1.5607,1.5639,1.5572
"1729",2015-08-14,1.5646,1.5606,1.566,1.5586
