Date	Price	Open	High	Low	Change %
Jul 12, 2010	1,5030	1,5028	1,5085	1,4950	-0,22%
Jul 13, 2010	1,5200	1,5030	1,5200	1,4966	1,13%
Jul 14, 2010	1,5259	1,5200	1,5297	1,5188	0,39%
Jul 15, 2010	1,5425	1,5259	1,5472	1,5237	1,09%
Jul 16, 2010	1,5305	1,5425	1,5447	1,5278	-0,78%
Jul 19, 2010	1,5220	1,5292	1,5352	1,5204	-0,56%
Jul 20, 2010	1,5290	1,5220	1,5310	1,5154	0,46%
Jul 21, 2010	1,5186	1,5290	1,5334	1,5126	-0,68%
Jul 22, 2010	1,5285	1,5186	1,5296	1,5150	0,65%
Jul 23, 2010	1,5429	1,5285	1,5450	1,5258	0,94%
Jul 26, 2010	1,5479	1,5442	1,5520	1,5420	0,32%
Jul 27, 2010	1,5590	1,5479	1,5601	1,5443	0,72%
Jul 28, 2010	1,5592	1,5592	1,5640	1,5543	0,01%
Jul 29, 2010	1,5611	1,5587	1,5664	1,5578	0,12%
Jul 30, 2010	1,5695	1,5602	1,5722	1,5552	0,54%
Aug 02, 2010	1,5888	1,5711	1,5908	1,5700	1,23%
Aug 03, 2010	1,5940	1,5888	1,5967	1,5861	0,33%
Aug 04, 2010	1,5886	1,5940	1,5964	1,5856	-0,34%
Aug 05, 2010	1,5876	1,5886	1,5923	1,5821	-0,06%
Aug 06, 2010	1,5938	1,5876	1,5998	1,5841	0,39%
Aug 09, 2010	1,5901	1,5963	1,5994	1,5891	-0,23%
Aug 10, 2010	1,5814	1,5901	1,5909	1,5711	-0,55%
Aug 11, 2010	1,5638	1,5814	1,5834	1,5616	-1,11%
Aug 12, 2010	1,5594	1,5638	1,5714	1,5562	-0,28%
Aug 13, 2010	1,5594	1,5594	1,5678	1,5572	0,00%
Aug 16, 2010	1,5650	1,5584	1,5702	1,5536	0,36%
Aug 17, 2010	1,5572	1,5650	1,5696	1,5552	-0,50%
Aug 18, 2010	1,5561	1,5572	1,5688	1,5498	-0,07%
Aug 19, 2010	1,5574	1,5561	1,5672	1,5510	0,08%
Aug 20, 2010	1,5536	1,5574	1,5595	1,5466	-0,24%
Aug 23, 2010	1,5492	1,5554	1,5618	1,5485	-0,28%
Aug 24, 2010	1,5407	1,5492	1,5506	1,5372	-0,55%
Aug 25, 2010	1,5476	1,5407	1,5481	1,5390	0,45%
Aug 26, 2010	1,5520	1,5476	1,5598	1,5469	0,28%
Aug 27, 2010	1,5529	1,5520	1,5539	1,5443	0,06%
Aug 30, 2010	1,5474	1,5539	1,5576	1,5456	-0,35%
Aug 31, 2010	1,5341	1,5474	1,5474	1,5328	-0,86%
Sep 01, 2010	1,5446	1,5341	1,5490	1,5337	0,68%
Sep 02, 2010	1,5392	1,5446	1,5452	1,5350	-0,35%
Sep 03, 2010	1,5452	1,5392	1,5470	1,5390	0,39%
Sep 06, 2010	1,5361	1,5452	1,5490	1,5348	-0,59%
